id,normalized_name,gender
839,yoga instructor,
840,homers thought,
841,contestants,
842,mr bozwell,
843,deborah jo smallwood,
845,auditioning woman 1,
846,auditioning woman 2,
847,auditioning woman 3,
848,ms sinclair,
849,video game voice,
850,company,
851,actress,
852,male parishoner,
853,stooge 1,
854,stooge 2,
855,boring guy,
856,commentator,
857,abraham lincoln,
858,flanders family,
859,jamshed,
860,insurance agent,
861,barker,
862,booth man,
863,caricaturist,
864,small voice,
865,tv father,
866,tv daughter,
867,bitsy,
868,ramona,
869,owner,
870,ice cream lady,
871,amber dempsey,
872,pahasatira,
873,judges,
874,museum worker,
875,show announcer,
876,bob hope,
817,kirk van houten,m
785,lurleen lumpkin,f
774,god,m
803,nigel bakerbutcher,m
877,advance man,
878,soldier 1,
879,soldier 2,
881,nerd 1,
882,nerd 2,
883,football player,
884,shopkeeper,
885,gangster,
886,repairman,
887,sailor 1,
888,sailor 2,
889,natives,
890,30s reporter,
891,girl star,
892,co-pilot,
893,monkey,
894,faces,
895,zombies,
896,skinner zombie,
897,zombie krusty,
898,zombie flanders,
899,zombie djs,
900,zombie shakespeare,
901,lisa snail,
902,zombie,
903,pilgrim zombie,
904,cowboy zombie,
905,helmsman,
906,chief engineer,
907,rowdy woman,
909,astronaut,
910,booth attendant,
911,mcclure,
912,contractor,
913,headless brakeman,
914,marley,
915,donut man,
916,tom jones,
917,animal handler,
918,homer,
919,hunk,
920,price,
924,mrs powers,
925,guy 1,
926,guy 2,
927,chef,
928,waiter 2,
929,old man,
930,attorney,
931,mailman,
932,delivery boy,
933,fat foreman,
934,old woman,
935,ricardo,
936,alan thicke,
937,adjuster,
938,model,
939,second man,
940,german engineer,
941,adam west,
942,president bush,
943,just stamp the ticket man,
945,linda ronstadt,
946,teenage barney,
948,copy writer,
949,cameraman,
950,bigfoot,
951,mountain goat,
952,fruit vendor,
953,irish lady,
954,italian lady,
955,talk show host,
956,sidekick,
957,realtor,
958,ad man,
959,female messenger,
960,clown bed,
961,korean gymnast,
962,pig,
964,gas station boy,
965,billy,
966,homers spirit,
967,intercom,
968,reporters,
969,sunday school teacher,
970,video tape narrator,
971,pumpkin man,
972,med students,
973,handsome young man,
974,andre,
975,young riviera,
976,angry man,
977,warrior,
979,truckosaurus,
